Title,Event URL,Image URL,Categories,Mode,Date,Time,Location,Register Link
The Kohler DE&I Konclave: “Preparing the Organization for PwD & LGBTQ+ Inclusion” ,https://events.herkey.com/events/the-kohler-de-i-konclave-preparing-the-organization-for-pwd-lgbtq-inclusion/1624,https://assets.jobsforher.com/uploads/v3/events/9549c08d80980b29f65f1c308dfe5175f3134a308250f74b40.png,Diversity Drive,Offline,"6th Jun, 2024",4:30pm to 7:30pm,Gurgaon,N/A
Aptiv's DriveBack Returnship Program ,https://events.herkey.com/events/aptiv-s-driveback-returnship-program/1608,https://assets.jobsforher.com/uploads/v3/events/535f88d9047d8caa03886f818acfe6090ac9d074cf1b53f950.png,Women Returnees,Online,"25th Apr, 2024 to 31st May, 2024",9:00am to 6:00pm,Any,N/A
Diversity in Action: ABB's Initiatives for Inclusive Workplaces ,https://events.herkey.com/events/diversity-in-action-abb-s-initiatives-for-inclusive-workplaces/1622,https://assets.jobsforher.com/uploads/v3/events/f756337a983a1586a20aad999690bb4c8a7fbadf41cb771570.png,Diversity Drive,Online,"31st May, 2024",4:00pm to 5:00pm,Any,N/A
Shakti by ABSLI: Empowering Women for a Secure Future ,https://events.herkey.com/events/shakti-by-absli-empowering-women-for-a-secure-future/1618,https://assets.jobsforher.com/uploads/v3/events/b4c00d9ad0e24a82ef01ef0f1540790d5ca31e549a5d2615f0.png,Career Development,Online,"31st May, 2024",11:00am to 12:00pm,Any,N/A
"Introverts, Become Confident Communicators in 60 Days ",https://events.herkey.com/events/introverts-become-confident-communicators-in-60-days/1614,https://assets.jobsforher.com/uploads/v3/events/ed8f74152ce60b8a27f347a8b705aa933b3b61b4a9c3efebce.png,"Career Development, Workshops",Online,"30th Apr, 2024 to 30th May, 2024",9:00am to 6:05pm,Any,N/A
Success Strategies: Interviewing for Your Ideal Job,https://events.herkey.com/events/success-strategies-interviewing-for-your-ideal-job/1612,https://assets.jobsforher.com/uploads/v3/events/a87fad6f6b78821524437acc2d141641438ec6007f12d203d2.png,"Career Development, event, networking",Online,"28th May, 2024",5:00pm to 6:00pm,Any,N/A
The Critical Role of Analytical Skills in the Future Workforce,https://events.herkey.com/events/the-critical-role-of-analytical-skills-in-the-future-workforce/1615,https://assets.jobsforher.com/uploads/v3/events/6c314eb5d17d0d5368e33eb9ab016a0635426d09f573febd6e.png,"Career Development, event, networking",Online,"22nd May, 2024",7:00pm to 8:00pm,Any,N/A
The Power of Community,https://events.herkey.com/events/the-power-of-community/1621,https://assets.jobsforher.com/uploads/v3/events/dc17b3bd308764dbb60c2f129b2718ab571d20b704a7fd61e7.png,"Career Development, event",Online,"22nd May, 2024",6:00pm to 7:00pm,Any,N/A
Masterclass: How to Build Professional Relationships,https://events.herkey.com/events/masterclass-how-to-build-professional-relationships/1617,https://assets.jobsforher.com/uploads/v3/events/da54873a373f8d2730e67e18b05bfbe0c880d1ca0c1bd0b49d.png,"Career Development, event, networking",Online,"18th May, 2024",11:30am to 12:30pm,Any,N/A
Accenture : Power up your Finance & Accounting career ,https://events.herkey.com/events/accenture-power-up-your-finance-accounting-career/1606,https://assets.jobsforher.com/uploads/v3/events/e1ea326aa8922ac1b4d5198d4cb1f45cbbdce7ff182bad70d1.png,Career Development,Online,"17th May, 2024",10:00am to 11:00am,Any,N/A
